LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2024-04-24 11:51:50,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:50,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:50,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:50,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:50,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:50,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:50,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:51,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:51,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:51,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:51,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:51,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:51,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:51,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:51,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:51,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:51,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:52,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:52,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:52,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:52,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:52,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:52,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:52,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:52,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:52,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:52,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:52,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:52,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:52,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:52,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:52,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:52,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:52,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:52,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:52,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:52,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:52,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:52,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:52,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:53,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:53,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:53,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:53,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:53,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:53,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:53,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:53,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:53,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:53,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:53,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:53,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:53,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:53,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:53,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:53,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:54,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:54,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:54,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:54,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:54,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:54,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:54,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:54,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:54,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:54,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:55,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:55,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:55,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:55,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:55,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:55,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:55,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:55,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:55,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:55,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:55,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:55,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:56,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:56,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:56,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:56,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:56,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:56,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:56,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:56,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:56,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:56,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:56,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:56,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:56,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:56,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:56,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:56,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:56,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:56,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:56,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:56,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:57,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:57,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:57,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:57,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:57,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:57,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:57,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:57,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:57,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:57,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:57,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:58,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:58,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:58,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:58,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:58,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:58,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:58,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:58,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:58,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:58,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:58,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:58,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:58,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:58,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:58,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:58,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:58,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:58,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:58,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:58,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:58,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:59,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:59,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:59,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:59,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:59,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:59,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:59,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:59,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-24 11:51:59,1900-01-00 00:00:00,NS_WPA,06:22:3F:4D:E3:A5,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
